"task","model_type","tau","latency_ms","accuracy","avg_depth","avg_retention","bs","device"
,,"",,,"","",,"NVIDIA GeForce RTX 2080 Ti"
"mnli","bert","","9,755157299980056","0,834","","","32","NVIDIA GeForce RTX 2080 Ti"
"mnli","bert","","10,093536400010635","0,834","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","bert","","10,514404199901037","0,834","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","bert","","10,523895700007415","0,834","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","bert","","10,945936000051006","0,834","","","32","NVIDIA GeForce RTX 2080 Ti"
"mnli","bert","","10,986224700049206","0,834","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","bert","","11,066723899937642","0,834","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","bert","","12,530888999914168","0,834","","","32","NVIDIA GeForce RTX 2080 Ti"
"mnli","distilbert","","5,132100500009983","0,803","","","32","NVIDIA GeForce RTX 2080 Ti"
"mnli","distilbert","","5,53183950001403","0,803","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","distilbert","","5,692231900065963","0,803","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","distilbert","","5,8800133999902755","0,803","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","distilbert","","5,926454800042848","0,803","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","distilbert","","5,948016499936784","0,803","","","32","NVIDIA GeForce RTX 2080 Ti"
"mnli","distilbert","","6,6569226000247","0,803","","","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","distilbert","","6,750988499967207","0,803","","","32","NVIDIA GeForce RTX 2080 Ti"
"mnli","eat","0,8","19,8578003000257","0,386","11,92","0,512149677336216","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","eat","0,85","20,320660899975337","0,384","11,984","0,512149677336216","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","eat","0,9","20,35290729998087","0,384","12,0","0,512149677336216","1","NVIDIA GeForce RTX 2080 Ti"
"mnli","eat","0,9","22,816389899999194","0,384","12,0","0,512149677336216","32","NVIDIA GeForce RTX 2080 Ti"
"mnli","eat","0,95","19,501084799994715","0,384","12,0","0,512149677336216","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","bert","","10,28233550026198","0,917","","","32","NVIDIA GeForce RTX 2080 Ti"
"qqp","bert","","10,97179359960137","0,917","","","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","distilbert","","5,476841999858152","0,891","","","32","NVIDIA GeForce RTX 2080 Ti"
"qqp","distilbert","","6,372028499754379","0,891","","","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,8","16,973213999619475","0,883","11,648","0,5148730062544346","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,85","16,705316600186052","0,883","11,656","0,5148730062544346","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,9","16,809893499681493","0,883","11,664","0,5148730062544346","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,9","17,906732899835333","0,883","11,664","0,5148730062544346","32","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,95","16,88434350010357","0,883","11,68","0,5148730062544346","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","10,112108271203622","0,9245742092457421","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","10,344150486319222","0,9245742092457421","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","10,504756691060345","0,9245742092457421","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","10,837609609700865","0,9245742092457421","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","10,973926034347842","0,9245742092457421","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","bert","","11,117767031442481","0,9245742092457421","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","5,566512165148403","0,9038929440389294","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","5,7477665455545095","0,9038929440389294","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","5,975970194581273","0,9038929440389294","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","6,00058126527875","0,9038929440389294","","","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","distilbert","","6,132654014697532","0,9038929440389294","","","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,8","16,2737051093296","0,902676399026764","11,19221411192214","0,5242617222006883","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,85","16,02469489097067","0,9051094890510949","11,211678832116789","0,5242617222006883","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,9","16,219426034281252","0,9051094890510949","11,231143552311435","0,5242617222006883","1","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,9","17,800934428462153","0,9051094890510949","11,231143552311435","0,5242617222006883","32","NVIDIA GeForce RTX 2080 Ti"
"sst2","eat","0,95","16,381910219376422","0,9051094890510949","11,279805352798054","0,5242617222006883","1","NVIDIA GeForce RTX 2080 Ti"
