"task","model_type","tau","latency_ms","accuracy","avg_depth","avg_retention","bs","device"
"qqp","bert","","10,28233550026198","0,917","","","32","NVIDIA GeForce RTX 2080 Ti"
"qqp","bert","","10,97179359960137","0,917","","","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","distilbert","","5,476841999858152","0,891","","","32","NVIDIA GeForce RTX 2080 Ti"
"qqp","distilbert","","6,372028499754379","0,891","","","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,8","16,973213999619475","0,883","11,648","0,5148730062544346","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,85","16,705316600186052","0,883","11,656","0,5148730062544346","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,9","16,809893499681493","0,883","11,664","0,5148730062544346","1","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,9","17,906732899835333","0,883","11,664","0,5148730062544346","32","NVIDIA GeForce RTX 2080 Ti"
"qqp","eat","0,95","16,88434350010357","0,883","11,68","0,5148730062544346","1","NVIDIA GeForce RTX 2080 Ti"
bert,,9.9092,0.9140,,,1,NVIDIA GeForce RTX 2080 Ti
distilbert,,5.0597,0.8910,,,1,NVIDIA GeForce RTX 2080 Ti
eat,0.80,10.0880,0.8820,6.096,0.516,1,NVIDIA GeForce RTX 2080 Ti
eat,0.85,11.7212,0.8840,6.752,0.516,1,NVIDIA GeForce RTX 2080 Ti
eat,0.90,11.6206,0.8850,7.608,0.516,1,NVIDIA GeForce RTX 2080 Ti
eat,0.95,13.0891,0.8850,8.792,0.516,1,NVIDIA GeForce RTX 2080 Ti
bert,,1.2730,0.9143,,,32,NVIDIA GeForce RTX 2080 Ti
distilbert,,0.6437,0.8921,,,32,NVIDIA GeForce RTX 2080 Ti
eat,0.90,1.6579,0.8800,12.000,0.517,32,NVIDIA GeForce RTX 2080 Ti
bert,,9.5642,0.9140,,,1,NVIDIA GeForce RTX 2080 Ti
distilbert,,4.8056,0.8910,,,1,NVIDIA GeForce RTX 2080 Ti
eat,0.80,9.9513,0.8820,6.096,0.516,1,NVIDIA GeForce RTX 2080 Ti
eat,0.85,11.7282,0.8840,6.752,0.516,1,NVIDIA GeForce RTX 2080 Ti
eat,0.90,12.7120,0.8850,7.608,0.516,1,NVIDIA GeForce RTX 2080 Ti
eat,0.95,14.1266,0.8850,8.792,0.516,1,NVIDIA GeForce RTX 2080 Ti
bert,,1.2889,0.9143,,,32,NVIDIA GeForce RTX 2080 Ti
distilbert,,0.6619,0.8921,,,32,NVIDIA GeForce RTX 2080 Ti
eat,0.90,1.6799,0.8800,12.000,0.517,32,NVIDIA GeForce RTX 2080 Ti
