model,tau,latency_ms,accuracy,speedup_vs_bert,delta_acc_pp,avg_depth,avg_retention
bert,,9.76,0.8340,1.00x,+0.00,,
distilbert,,5.13,0.8030,1.90x,-3.10,,
distilbert,,5.53,0.8030,1.76x,-3.10,,
distilbert,,5.69,0.8030,1.71x,-3.10,,
distilbert,,5.88,0.8030,1.66x,-3.10,,
distilbert,,5.93,0.8030,1.65x,-3.10,,
distilbert,,5.95,0.8030,1.64x,-3.10,,
distilbert,,6.66,0.8030,1.47x,-3.10,,
distilbert,,6.75,0.8030,1.44x,-3.10,,
eat,0.80,19.86,0.3860,0.49x,-44.80,11.92,0.512
eat,0.85,20.32,0.3840,0.48x,-45.00,11.98,0.512
eat,0.90,20.35,0.3840,0.48x,-45.00,12.00,0.512
eat,0.90,22.82,0.3840,0.43x,-45.00,12.00,0.512
eat,0.95,19.50,0.3840,0.50x,-45.00,12.00,0.512
