model,tau,latency_ms,accuracy,speedup_vs_bert,delta_acc_pp,avg_depth,avg_retention
bert,,10.11,0.9246,1.00x,+0.00,,
distilbert,,5.57,0.9039,1.82x,-2.07,,
distilbert,,5.75,0.9039,1.76x,-2.07,,
distilbert,,5.98,0.9039,1.69x,-2.07,,
distilbert,,6.00,0.9039,1.69x,-2.07,,
distilbert,,6.13,0.9039,1.65x,-2.07,,
eat,0.80,16.27,0.9027,0.62x,-2.19,11.19,0.524
eat,0.85,16.02,0.9051,0.63x,-1.95,11.21,0.524
eat,0.90,16.22,0.9051,0.62x,-1.95,11.23,0.524
eat,0.90,17.80,0.9051,0.57x,-1.95,11.23,0.524
eat,0.95,16.38,0.9051,0.62x,-1.95,11.28,0.524
